ORDER ,SUBSET I,SUBSET II,Adults,Eggs,Larvae,Pupae,Nymphs,Early Instars,REGION,EUROPE,ASIA,NORTH AMERICA,SOUTH AMERICA,AFRICA,OCEANIA,METHOD,OTHER METHOD,SURVEY AREA SIZE,SURVEY DURATION,
,,,,,,,,,,,,,,,,,,,,
Odonata,,,Y,N,Y,N,N,N,West Palearctic region,Y,N,Y,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,"Transect counts (max lenght 500 m), site counts (usually <3 ha)","site count: 1 hour count
transect count of 500 m usually does not take much more than 1 hour

but repeated visits during the flight season", 
Phasmatodea,,,Y,N,N,N,N,N,"Primarily Europe, USA, Vietnam, Thailand, Colombia, Malaysia (remote surveying almost worldwide); Most data in the literature is focused on Argentina, Australia, Vietnam, Europe, Brazil",Y,Y,Y,Y,N,Y,"Malaise trapping;Beating sheet;Active visual surveys, such as transect walks and hand netting;", ,"Malaise Trapping (limited useful): 160x110cm
Beating sheet: 20 ha
Visual surveys (most useful): 30 ha
*difficult to provide typical estimates, the boundary conditions differ a lot","Malaise trapping: 1-2 weeks
Combination of beating sheets and visual surveying: 2-3 days
*difficult to provide typical estimates, the boundary conditions differ a lot", 
Hymenoptera,,Bumblebees,Y,N,N,N,N,N,Canada and the USA,N,N,Y,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,1 km transects,1 km transects at each site each week (about 1 hour for a transect), 
Odonata,,,Y,N,Y,N,N,N,Finland,Y,N,N,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,"Usually a transect line (10m wide, 10m high) surrounding a lake, pond or a river. Depending on the size of the lake, these transect lines are usually up to 500m long, but can be considerably longer.","Usually one hour is enough to evaluate the species composition of small water bodies (transect lines less than 500m), when using only adult samples. Larvae require substantially longer processing times.", 
Orthoptera,Acrididae,,Y,N,N,N,Y,Y,USA,N,N,Y,N,N,N,Other;,"Sweep netting, ring counts",Sweep netting has no area but I would guesstimate that each sweep is 0.1 sq m and I usually would do 160 sweeps so 16 sq m.  Rings are 0.1 sq m and I usually use 30 so 3 sq m.,"160 sweeps = 30 min
30 rings (to collect data, not including ring deployment) = 15 min", 
Lepidoptera,,Butterflies,Y,N,N,N,N,N,UK,Y,N,N,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,"Visual assessments can be conducted on pollard walk transects for butterflies and day-flying moths. These are measured by amount of transects per area rather than a minimum size of an area. The UKBMS states that transects are typically 1km long, but this doesn't account for small sites or very large sites in a simple manner. In my experience, although dependent on the character/accessibility of the area questioned, a transect of 1k m in length is enough to capture the maximum species occupancy at a 3-5 ha site. There are further caveats to transect design beyond area though, including relative homogeneity of  a site. For example, a large species-poor grassland might not need the same survey effort as an equally sized structurally complex woodland with well managed rides, glades, shaded areas etc. Certainly under representing a site through poor transect to area ratio can potentially impact accuracy in abundance and diversity measurements, particularly where structure, habitat types and general character is diverse. 
","Butterfly transect sampling season spans April to the end of September, with at least 26 visits to a site's transect in that period under specific weather conditions. This captures as much of each season as possible, including the June 'lull'. The amount of years sampled depends on the context of the study, but even relative comparisons between areas should aim to capture at least one of each season for a single year at the bare minimum. When comparing phenology, 3 - 5 + years could be considered the minimum to make any solid conclusions and account for any exceptional years such as the summer heatwave of 2022. 

If the question refers to how long an individual survey takes, butterfly pollard walk transects typically take 20+ minutes per 1km transect depending on the terrain. Other effective visual surveys include the 15 minute walk, but this is contextual depending on the area being surveyed and should supplement pollard walks, not replace them, and would be conducted as the same frequency as the pollard walk.", 
Hymenoptera,,Bees,Y,N,N,N,N,N,South Africa (particularly Succulent Karoo in the west of the country),N,N,N,Y,N,N,"Active visual surveys, such as transect walks and hand netting;",  ,"Survey depends on the (very variable) flower display, flower diversity and opportunity in a semiarid environment; survey areas range from a few 100 m² to about a hectare.","Again, this depends on opportunity (usually suitable weather), structure of the site (floral display, size) and number of bees. Range is from 1 hour (small site, few flowers and bees) to about 8-10 hours on different days.", 
Coleoptera,"
Coleoptera: Carabidae",,Y,N,N,N,Y,Y,Central Europe,Y,N,N,N,N,N,"Pitfall trapping;Other;Beating sheet;Active visual surveys, such as transect walks and hand netting;Light trapping;",Sweep netting,"pitfalls: hectares
sweep net: hectares","pitfalls: 1 week periods, if possible year round
sweep net: 1 hour", 
Hemiptera, Auchenorrhyncha,,Y,N,N,N,Y,Y,Central Europe,Y,N,N,N,N,N,,,,,
Orthoptera,,,Y,N,N,N,N,N,"Serbia, Montenegro, Croatia, Bosnia and Herzegovina, North Macedonia",Y,N,N,N,N,N,"Beating sheet;Acoustic monitoring;Active visual surveys, such as transect walks and hand netting;", ,All selected survey methods are used usually in a length of 50-100 meters,One hour, 
Trichoptera,,,Y,N,Y,N,N,N,"I have been studying the Central and South America caddisfly fauna for the past 15 years. However, my main focus for the past 5 years is the Trichoptera fauna in the Amazon Rainforest.",N,N,Y,Y,N,N,"Light trapping;Malaise trapping;Active visual surveys, such as transect walks and hand netting;", ,Each field trip works on an average area of 400 square kilometers. The collecting methods are implemented along the margin of preserved streams and rivers (preferentially). My team usually explores around 80 square meters by day with the three methods listed above. ,"Each field trip lasts approximately 7-10 days, sampling one or two streams (distant at least 10km from each other) by day. Sampling starts around 2pm with active entomological nets by the stream margin as well as active immature search in the stream. Around 6pm active search stops, light traps are set up and sampling goes until 10pm. So, it is a 4-hour active search and 4-hour light trap sampling per day along 7-10 days.", 
Odonata,,,Y,N,N,N,Y,Y,United States,N,N,Y,N,N,N,"Active visual surveys, such as transect walks and hand netting;Other;",Dip-net sampling (nymphs),"adults & exuviae - stream/river segments (~100m each), pond perimeters (length depends on pond size), wetland vegetated areas (meandering searches)  
nymphs (lentic waters) - 5 1-m sweeps at netting stations (3 minimum, dependent on area) at least 10 m apart along littoral macrophyte beds (ponds/lakes) or scattered across inundated wetland vegetation zones ","adults: 20-40 minutes every 2-3 weeks
exuviae: 30 minutes every 2-3 weeks
nymphs: 2-5 collection events during May to September", 
Hymenoptera,,,Y,N,N,N,N,N,Australia,N,N,N,N,N,Y,"Active visual surveys, such as transect walks and hand netting;Other;", ,"Highly variable depending on study (some are in gardens so 10's-100's of square metre, others are in bushland, so larger scale","Visual surveys on flowers: 2-10 minutes/plant, depending on study aims
Sweep netting: variable, depends on site size and study aims", 
Lepidoptera,,Butterflies,Y,N,N,N,N,N,United States,N,N,Y,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,4-10 km,3-6 hours, 
Lepidoptera,,Butterflies,Y,N,N,N,N,N,Bangladesh,N,Y,N,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,"Although I have extensively surveyed different parts of Bangladesh, I continued the survey for 3 years in Dhaka city.",Approximately 5-8 hours/day, 
Orthoptera,,,Y,Y,Y,N,N,N,"Belgium, UK, Portugal",Y,N,N,N,N,N,"Light trapping;Beating sheet;Acoustic monitoring;Active visual surveys, such as transect walks and hand netting;", ,"Light trapping: ca. 10 lamps/night, so 10 times the attraction area of a lamp or ca 10*0.3ha=3ha
Beating sheet: ca. 50 square metres in total/day
Acoustic monitoring: ca. 15*3ha/day=45ha
Transect walks with hand net: ca. 15*3ha/day=45ha","Light trapping: whole night from dusk till dawn, i.e. ca. 10 hours/day, and ca. 40 days/year
Beating sheet: ca. 2 hours/day, and ca. 10 days/year
Acoustic monitoring: ca. 8 hours, and ca. 10 days/year
Transect walks with hand net: ca. 8 hours, and ca. 20 days/year", 
Lepidoptera,Macro Lepidoptera,,Y,Y,Y,N,N,N,"Belgium, UK, Portugal",Y,N,N,N,N,N,,,,,
