,Study,dip_hym_cooks,col_lep_cooks,dip_col_cooks,dip_hemi_cooks,dip_lep_cooks,hemi_col_cooks,hemi_lep_cooks,hym_hemi_cooks,hym_lep_cooks,hym_col_cooks
60.0000,AD1_2002__Kruess 1,0.3662,,,,,,,,,
5.0000,AD1_2002__Vazquez 1,0.0030,0.0136,0.0296,0.0810,0.0531,0.0299,0.0198,0.0734,0.0812,0.0359
86.0000,AD1_2007__Ockinger 1,,,,,,,,,0.1365,
67.0000,AD1_2008__Billeter 6,3.0986,,,,,,,,,
87.0000,AD1_2008__Franzen 1,,,,,,,,,0.4414,
35.0000,AD1_2008__Kohler 1,0.0227,,,,,,,,,
3.0000,AD1_2008__Kohler 2,0.0014,,,,,,,,,
7.0000,AD1_2008__Kohler 3,0.0034,,,,,,,,,
29.0000,AD1_2008__Kohler 4,0.0158,,,,,,,,,
50.0000,AD1_2009__Vergara 1,0.1252,,0.1137,,,,,,,0.3170
1.0000,AD1_2010__Quintero 1,0.0002,0.0082,0.0010,,0.0026,,,,0.0239,0.0003
41.0000,AD1_2011__Bates 1,0.0427,,,,,,,,,
24.0000,AD1_2011__Blake 1,0.0121,,,,,,,,,
8.0000,AD1_2011__Blake 2,0.0037,,,,,,,,,
58.0000,AD1_2011__Power 1,0.2814,,,,0.0060,,,,0.0764,
63.0000,AD1_2011__Schuepp 1,0.5219,,0.0591,,,,,,,1.1329
65.0000,AD1_2011__Weiner 1,0.8407,0.0123,0.1854,2.5107,0.0688,1.2298,2.1680,0.6329,0.0033,0.0073
31.0000,AD1_2011b_Hanley 1,0.0175,0.1617,0.1256,0.1279,0.0985,0.2821,0.1045,0.0855,0.0213,0.0632
34.0000,AD1_2013__Grass 1,0.0218,0.0302,0.0014,,0.0045,,,,0.2133,0.0046
82.0000,AD2_2017__Novais 2,,,,,,0.0080,,,,
44.0000,AD2_2018__Salles 1,0.0637,,0.7699,0.4225,,0.0025,,0.3624,,0.7628
62.0000,AD2_2018__Salles 2,0.3953,,0.0772,0.1916,,0.0039,,0.3672,,0.7803
46.0000,AR1_2008__Basset 1,0.0778,0.1423,0.2134,0.1441,0.1022,0.1890,0.1146,0.0462,0.0348,0.0379
10.0000,CC1_2005__Barratt 1,0.0053,0.0064,0.0029,0.0109,0.0175,0.0031,0.0028,0.0009,0.0011,0.0003
22.0000,CC1_2005__Barratt 2,0.0111,0.0074,0.0063,0.0128,0.0019,0.0016,0.0053,0.0013,0.0054,0.0027
73.0000,CC1_2008__Schon 1,,0.0416,,,,,,,,
69.0000,CC1_2008__Schon 2,,0.0076,0.1340,0.1608,0.0779,0.0307,0.0125,,,
36.0000,CC1_2010__Schon 2,0.0274,,0.0049,0.0094,,0.0213,,0.0427,,0.0402
54.0000,CC1_2012__Waite 1,0.1731,,0.0152,0.0566,,0.0070,,0.0884,,0.1103
25.0000,CC1_2012__Waite 2,0.0128,0.0701,0.6566,0.9390,1.6039,0.1043,0.0102,0.4441,0.3872,0.1572
43.0000,CC1_2012__Waite 3,0.0525,,0.0251,0.0033,,0.0024,,0.0908,,0.0309
52.0000,CC1_2013__Litchwark 1,0.1361,0.0949,0.2084,,0.1281,,,,0.0461,0.0326
42.0000,CC1_2014__Rader 1,0.0465,,0.4024,,,,,,,0.3314
11.0000,CM2_2009__SilvaMoco 1,0.0056,,0.0045,0.0081,,0.0118,,0.0581,,0.0044
30.0000,CM2_2009__SilvaMoco 2,0.0168,,0.0244,0.0005,,0.0109,,0.0433,,0.0034
23.0000,DG1_2012__Ge 1,0.0114,0.0072,0.0156,0.0124,0.0199,0.0292,0.0116,0.0060,0.0092,0.0020
45.0000,DI1_2012__Muchane 1,0.0645,0.0838,0.0900,,0.0319,,,,0.1954,0.0389
51.0000,DI1_2013__Rousseau 1,0.1273,0.1666,0.2867,0.1338,0.3421,0.2009,0.2210,0.0631,0.0373,0.0210
68.0000,DI1_2013__Rousseau 2,3.7922,1.1952,1.2118,4.7982,0.7936,2.2268,2.4669,2.0433,3.9826,3.7445
19.0000,GP1_2009__Vasconcelos 2,0.0096,,0.0174,0.0212,,0.0028,,0.0024,,0.0055
85.0000,HP1_2006__Lachat 1,,,,,,0.2074,,,,
79.0000,HW1_2011__Summerville 1,,24.0952,,,,,,,,
72.0000,KS1_2006__Borges 1,,0.0295,,,,0.0035,0.0904,,,
9.0000,LC1_2014__Ge 1,0.0047,0.0062,0.0037,0.0080,0.0095,0.0111,0.0152,0.0076,0.0045,0.0062
49.0000,LC1_2015__Su 1,0.1113,0.0134,0.1955,0.0776,0.6938,0.1107,0.1729,0.0090,0.0216,0.0117
20.0000,LC1_2015__Yang 1,0.0106,0.0082,0.0207,,0.0080,,,,0.0070,0.0055
