"","Study","dip_hym_cooks","col_lep_cooks","dip_col_cooks","dip_hemi_cooks","dip_lep_cooks","hemi_col_cooks","hemi_lep_cooks","hym_hemi_cooks","hym_lep_cooks","hym_col_cooks"
"1","AD1_2010__Quintero 1",2e-04,0.0082,0.001,NA,0.0026,NA,NA,NA,0.0239,3e-04
"2","LC1_2020__Zhang 1",4e-04,0.0097,8e-04,0.0018,0.0044,0.002,0.0038,0.0062,0.0089,4e-04
"3","AD1_2008__Kohler 2",0.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","SE2_2010__Gaigher 1",0.002,NA,0.0517,0.0033,NA,0.0219,NA,0.0177,NA,0.0156
"5","AD1_2002__Vazquez 1",0.003,0.0136,0.0296,0.081,0.0531,0.0299,0.0198,0.0734,0.0812,0.0359
"6","SJ2_2016__Fleurance 2",0.0032,NA,0.0514,0.0567,NA,0.0799,NA,8e-04,NA,0.1217
"7","AD1_2008__Kohler 3",0.0034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","AD1_2011__Blake 2",0.0037,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","LC1_2014__Ge 1",0.0047,0.0062,0.0037,0.008,0.0095,0.0111,0.0152,0.0076,0.0045,0.0062
"10","CC1_2005__Barratt 1",0.0053,0.0064,0.0029,0.0109,0.0175,0.0031,0.0028,9e-04,0.0011,3e-04
"11","CM2_2009__SilvaMoco 1",0.0056,NA,0.0045,0.0081,NA,0.0118,NA,0.0581,NA,0.0044
"12","LC1_2020__Huang 1",0.0066,0.0126,0.0083,0.0198,0.023,0.014,0.0205,0.012,0.022,0.0083
"13","LC1_2020__Ma 1",0.0068,0.007,0.0048,0.0035,0.0094,0.0034,0.0044,0.0041,0.0101,0.0051
"14","VB1_2008a_Smith 1",0.0069,0.0077,8e-04,0.0029,9e-04,0.0028,0.0046,0.005,0.003,0.0029
"15","LC1_2020__Zheng 1",0.0075,0.0044,0.0077,NA,2e-04,NA,NA,NA,0.0061,0.0062
"16","LC1_2021__Zang 1",0.0077,0.0056,0.0109,0.0078,0.0057,0.0029,0.0074,0.0165,0.0039,0.015
"17","VB1_2005__Eggleton 1",0.0081,0.0051,0.0017,0.0291,0.0114,0.0121,0.0252,0.0477,0.007,0.0068
"18","LH2_2015__Cusser 1",0.0081,NA,NA,NA,0.1327,NA,NA,NA,4e-04,NA
"19","GP1_2009__Vasconcelos 2",0.0096,NA,0.0174,0.0212,NA,0.0028,NA,0.0024,NA,0.0055
"20","LC1_2015__Yang 1",0.0106,0.0082,0.0207,NA,0.008,NA,NA,NA,0.007,0.0055
"21","LC1_2021__Ge 1",0.0108,0.0094,0.0223,0.0193,0.0509,0.017,0.0457,0.0092,0.004,0.0038
"22","CC1_2005__Barratt 2",0.0111,0.0074,0.0063,0.0128,0.0019,0.0016,0.0053,0.0013,0.0054,0.0027
"23","DG1_2012__Ge 1",0.0114,0.0072,0.0156,0.0124,0.0199,0.0292,0.0116,0.006,0.0092,0.002
"24","AD1_2011__Blake 1",0.0121,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","CC1_2012__Waite 2",0.0128,0.0701,0.6566,0.939,1.6039,0.1043,0.0102,0.4441,0.3872,0.1572
"26","VB1_2012__Carpenter 1",0.0133,0.0202,0.0201,0.0053,0.0156,0.0245,0.032,0.0243,0.0237,0.0199
"27","SJ2_2016__Fleurance 3",0.0134,NA,0.0256,0.0747,NA,0.0571,NA,8e-04,NA,0.1151
"28","SJ2_2016__Fleurance 4",0.0154,NA,0.0343,0.1091,NA,0.0899,NA,3e-04,NA,0.1307
"29","AD1_2008__Kohler 4",0.0158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CM2_2009__SilvaMoco 2",0.0168,NA,0.0244,5e-04,NA,0.0109,NA,0.0433,NA,0.0034
"31","AD1_2011b_Hanley 1",0.0175,0.1617,0.1256,0.1279,0.0985,0.2821,0.1045,0.0855,0.0213,0.0632
"32","SS1_2015__Ponge 1",0.0197,0.013,0.0111,0.0294,0.0104,0.0042,0.0168,0.0076,0.0063,0.0156
"33","VB1_2005__Eggleton 2",0.0204,0.004,0.0089,0.0197,0.0152,0.0081,0.0105,0.0122,0.0103,0.0074
"34","AD1_2013__Grass 1",0.0218,0.0302,0.0014,NA,0.0045,NA,NA,NA,0.2133,0.0046
"35","AD1_2008__Kohler 1",0.0227,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CC1_2010__Schon 2",0.0274,NA,0.0049,0.0094,NA,0.0213,NA,0.0427,NA,0.0402
"37","VB1_2012__Carpenter 4",0.0298,0.0045,0.0768,0.0308,0.1219,0.0164,0.0209,0.015,0.0402,0.016
"38","MH1_2009__Turner 1",0.0304,0.0383,0.0268,0.028,0.0763,0.009,0.039,0.0407,0.1119,0.0106
"39","LC1_2019__Luan 1",0.0304,0.0282,0.0195,0.042,0.0519,0.0314,0.0112,0.0418,0.0394,0.0389
"40","VB1_2012__Carpenter 6",0.0312,0.0425,0.074,0.0416,0.0485,0.0136,0.0412,0.0923,0.0219,0.0537
"41","AD1_2011__Bates 1",0.0427,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","CC1_2014__Rader 1",0.0465,NA,0.4024,NA,NA,NA,NA,NA,NA,0.3314
"43","CC1_2012__Waite 3",0.0525,NA,0.0251,0.0033,NA,0.0024,NA,0.0908,NA,0.0309
"44","AD2_2018__Salles 1",0.0637,NA,0.7699,0.4225,NA,0.0025,NA,0.3624,NA,0.7628
"45","DI1_2012__Muchane 1",0.0645,0.0838,0.09,NA,0.0319,NA,NA,NA,0.1954,0.0389
