"Family","genus_or_species_n_rows","total_n_rows","percentage"
"Acrididae",8149,15389,0.53
"Aderidae",12,884,0.01
"Aeshnidae",30,30,1
"Alydidae",70,352,0.2
"Andrenidae",750,25439,0.03
"Anobiidae",578,1848,0.31
"Anthicidae",339,1373,0.25
"Anthocoridae",374,1080,0.35
"Anthribidae",964,1630,0.59
"Aphididae",2400,3682,0.65
"Aphodiidae",406,4147,0.1
"Aphrophoridae",28,1183,0.02
"Apidae",5609,52835,0.11
"Apionidae",120,2593,0.05
"Aradidae",12,330,0.04
"Argidae",74,74,1
"Asilidae",588,866,0.68
"Attelabidae",27,69,0.39
"Aulacidae",12,12,1
"Bethylidae",12,339,0.04
"Biphyllidae",12,75,0.16
"Bostrichidae",255,626,0.41
"Braconidae",267,1634,0.16
"Brentidae",61,453,0.13
"Buprestidae",286,1796,0.16
"Byrrhidae",12,1671,0.01
"Calliphoridae",1136,1846,0.62
"Calopterygidae",18,24,0.75
"Cantharidae",197,6306,0.03
"Carabidae",7465,49846,0.15
"Cerambycidae",2418,9751,0.25
"Ceratocombidae",12,112,0.11
"Cercopidae",24,343,0.07
"Cerylonidae",32,851,0.04
"Cetoniidae",1171,2037,0.57
"Chalcididae",726,1177,0.62
"Chrysididae",12,437,0.03
"Chrysomelidae",2529,15818,0.16
"Cicadellidae",3416,19285,0.18
"Ciidae",192,3089,0.06
"Cimbicidae",29,29,1
"Cixiidae",429,2464,0.17
"Clambidae",20,984,0.02
"Cleridae",527,2410,0.22
"Coccinellidae",569,8434,0.07
"Coenagrionidae",116,191,0.61
"Colletidae",1064,8785,0.12
"Corduliidae",6,18,0.33
"Coreidae",86,868,0.1
"Corylophidae",47,3092,0.02
"Cossidae",144,149,0.97
"Crabronidae",12,475,0.03
"Cryptophagidae",12,6794,0
"Cucujidae",12,540,0.02
"Curculionidae",10430,47577,0.22
"Cydnidae",202,641,0.32
"Delphacidae",1656,5784,0.29
"Dermestidae",318,1198,0.27
"Dolichopodidae",839,3037,0.28
"Drepanidae",144,677,0.21
"Dryinidae",32,100,0.32
"Dynastidae",59,137,0.43
"Dytiscidae",505,1356,0.37
"Elateridae",1611,13425,0.12
"Endomychidae",169,646,0.26
"Erirhinidae",247,2093,0.12
"Erotylidae",480,1823,0.26
"Eucinetidae",238,558,0.43
"Eucnemidae",12,853,0.01
"Formicidae",4742,123630,0.04
"Gasteruptiidae",12,28,0.43
"Geometridae",12467,37963,0.33
"Geotrupidae",35,225,0.16
"Gomphidae",36,48,0.75
"Gryllidae",268,2614,0.1
"Gryllotalpidae",12,22,0.55
"Halictidae",1969,38460,0.05
"Hepialidae",18,175,0.1
"Hesperiidae",1453,5321,0.27
"Histeridae",408,2108,0.19
"Hydrophilidae",144,3323,0.04
"Ichneumonidae",9091,12688,0.72
"Issidae",81,228,0.36
"Laemophloeidae",75,640,0.12
"Lampyridae",21,434,0.05
"Lasiocampidae",80,1222,0.07
"Latridiidae",1620,9703,0.17
"Leiodidae",302,8215,0.04
"Lestidae",12,18,0.67
"Leucospidae",72,72,1
"Libellulidae",258,478,0.54
"Limacodidae",1584,1797,0.88
"Lycaenidae",3092,11261,0.27
"Lycidae",12,651,0.02
"Lygaeidae",592,3052,0.19
"Lymexylidae",12,119,0.1
"Megachilidae",257,16688,0.02
"Melandryidae",1398,4236,0.33
"Melittidae",51,968,0.05
"Melolonthidae",1677,3590,0.47
"Melyridae",198,2224,0.09
"Membracidae",254,527,0.48
"Miridae",482,7405,0.07
"Monotomidae",314,1040,0.3
"Mordellidae",106,905,0.12
"Mutillidae",12,220,0.05
"Mycetophagidae",166,2638,0.06
"Nabidae",252,1221,0.21
"Nitidulidae",1753,7225,0.24
"Noctuidae",14181,36851,0.38
"Nolidae",458,687,0.67
"Notodontidae",3428,5759,0.6
"Nymphalidae",27140,41707,0.65
"Oedemeridae",4,693,0.01
"Papilionidae",882,2335,0.38
"Pentatomidae",570,2924,0.19
"Phalacridae",12,195,0.06
"Pieridae",2696,7658,0.35
"Piesmatidae",16,176,0.09
"Plataspidae",12,192,0.06
"Platycnemididae",54,54,1
"Pompilidae",315,1208,0.26
"Ptiliidae",52,5310,0.01
"Ptinidae",20,131,0.15
"Pyrochroidae",12,395,0.03
"Pyrrhocoridae",21,289,0.07
"Reduviidae",208,2428,0.09
"Rhipiphoridae",245,525,0.47
"Riodinidae",192,705,0.27
"Rutelidae",154,207,0.74
"Saldidae",12,352,0.03
"Salpingidae",257,706,0.36
"Saturniidae",1630,1666,0.98
"Scarabaeidae",7989,93496,0.09
"Scirtidae",24,15147,0
"Scraptiidae",12,1504,0.01
"Scutelleridae",108,378,0.29
"Scydmaenidae",169,4541,0.04
"Sepsidae",6,298,0.02
"Silphidae",27,894,0.03
"Silvanidae",206,904,0.23
"Sphecidae",116,1126,0.1
"Sphindidae",12,75,0.16
"Sphingidae",876,1550,0.57
"Staphylinidae",3093,116763,0.03
"Stenotrachelidae",80,160,0.5
"Syrphidae",1063,8862,0.12
"Tachinidae",1781,2977,0.6
"Tenebrionidae",3135,7880,0.4
"Tetrigidae",34,1074,0.03
"Tettigometridae",24,106,0.23
"Tettigoniidae",658,3176,0.21
"Throscidae",12,406,0.03
"Tingidae",187,1610,0.12
"Tiphiidae",18,80,0.22
"Torymidae",288,342,0.84
"Trogidae",6,233,0.03
"Trogossitidae",577,2802,0.21
"Vespidae",153,1124,0.14
"Zopheridae",2055,9455,0.22
"Zygaenidae",199,1144,0.17
