"Family","genus_or_species_n_rows","total_n_rows","percentage","num_genera_without_genus_value"
"Acrididae",8149,15389,0.53,154
"Aderidae",12,884,0.01,1
"Aeshnidae",30,30,1,5
"Alydidae",70,352,0.2,3
"Andrenidae",750,25439,0.03,8
"Anobiidae",578,1848,0.31,9
"Anthicidae",339,1373,0.25,5
"Anthocoridae",374,1080,0.35,4
"Anthribidae",964,1630,0.59,6
"Aphididae",2400,3682,0.65,16
"Aphodiidae",406,4147,0.1,17
"Aphrophoridae",28,1183,0.02,2
"Apidae",5609,52835,0.11,67
"Apionidae",120,2593,0.05,4
"Aradidae",12,330,0.04,1
"Argidae",74,74,1,1
"Asilidae",588,866,0.68,49
"Attelabidae",27,69,0.39,2
"Aulacidae",12,12,1,1
"Bethylidae",12,339,0.04,1
"Biphyllidae",12,75,0.16,1
"Bostrichidae",255,626,0.41,4
"Braconidae",267,1634,0.16,13
"Brentidae",61,453,0.13,3
"Buprestidae",286,1796,0.16,6
"Byrrhidae",12,1671,0.01,1
"Calliphoridae",1136,1846,0.62,23
"Calopterygidae",18,24,0.75,2
"Cantharidae",197,6306,0.03,4
"Carabidae",7465,49846,0.15,94
"Cerambycidae",2418,9751,0.25,36
"Ceratocombidae",12,112,0.11,1
"Cercopidae",24,343,0.07,2
"Cerylonidae",32,851,0.04,2
"Cetoniidae",1171,2037,0.57,13
"Chalcididae",726,1177,0.62,60
"Chrysididae",12,437,0.03,1
"Chrysomelidae",2529,15818,0.16,122
"Cicadellidae",3416,19285,0.18,44
"Ciidae",192,3089,0.06,1
"Cimbicidae",29,29,1,1
"Cixiidae",429,2464,0.17,25
"Clambidae",20,984,0.02,1
"Cleridae",527,2410,0.22,22
"Coccinellidae",569,8434,0.07,46
"Coenagrionidae",116,191,0.61,9
"Colletidae",1064,8785,0.12,18
"Corduliidae",6,18,0.33,1
"Coreidae",86,868,0.1,4
"Corylophidae",47,3092,0.02,2
"Cossidae",144,149,0.97,1
"Crabronidae",12,475,0.03,1
"Cryptophagidae",12,6794,0,2
"Cucujidae",12,540,0.02,1
"Curculionidae",10430,47577,0.22,85
"Cydnidae",202,641,0.32,4
"Delphacidae",1656,5784,0.29,78
"Dermestidae",318,1198,0.27,10
"Dolichopodidae",839,3037,0.28,44
"Drepanidae",144,677,0.21,1
"Dryinidae",32,100,0.32,2
"Dynastidae",59,137,0.43,4
"Dytiscidae",505,1356,0.37,3
"Elateridae",1611,13425,0.12,21
"Endomychidae",169,646,0.26,3
"Erirhinidae",247,2093,0.12,1
"Erotylidae",480,1823,0.26,2
"Eucinetidae",238,558,0.43,1
"Eucnemidae",12,853,0.01,1
"Formicidae",4742,123630,0.04,57
"Gasteruptiidae",12,28,0.43,1
"Geometridae",12467,37963,0.33,103
"Geotrupidae",35,225,0.16,3
"Gomphidae",36,48,0.75,6
"Gryllidae",268,2614,0.1,6
"Gryllotalpidae",12,22,0.55,1
"Halictidae",1969,38460,0.05,23
"Hepialidae",18,175,0.1,1
"Hesperiidae",1453,5321,0.27,63
"Histeridae",408,2108,0.19,33
"Hydrophilidae",144,3323,0.04,5
"Ichneumonidae",9091,12688,0.72,449
"Issidae",81,228,0.36,7
"Laemophloeidae",75,640,0.12,3
"Lampyridae",21,434,0.05,2
"Lasiocampidae",80,1222,0.07,1
"Latridiidae",1620,9703,0.17,7
"Leiodidae",302,8215,0.04,6
"Lestidae",12,18,0.67,2
"Leucospidae",72,72,1,6
"Libellulidae",258,478,0.54,27
"Limacodidae",1584,1797,0.88,11
"Lycaenidae",3092,11261,0.27,85
"Lycidae",12,651,0.02,1
"Lygaeidae",592,3052,0.19,8
"Lymexylidae",12,119,0.1,1
"Megachilidae",257,16688,0.02,8
"Melandryidae",1398,4236,0.33,5
"Melittidae",51,968,0.05,1
"Melolonthidae",1677,3590,0.47,4
"Melyridae",198,2224,0.09,6
"Membracidae",254,527,0.48,18
"Miridae",482,7405,0.07,11
"Monotomidae",314,1040,0.3,2
"Mordellidae",106,905,0.12,8
"Mutillidae",12,220,0.05,1
"Mycetophagidae",166,2638,0.06,2
"Nabidae",252,1221,0.21,3
"Nitidulidae",1753,7225,0.24,12
"Noctuidae",14181,36851,0.38,122
"Nolidae",458,687,0.67,2
"Notodontidae",3428,5759,0.6,15
"Nymphalidae",27140,41707,0.65,243
"Oedemeridae",4,693,0.01,1
"Papilionidae",882,2335,0.38,14
"Pentatomidae",570,2924,0.19,18
"Phalacridae",12,195,0.06,1
"Pieridae",2696,7658,0.35,32
"Piesmatidae",16,176,0.09,1
"Plataspidae",12,192,0.06,1
"Platycnemididae",54,54,1,3
"Pompilidae",315,1208,0.26,12
"Ptiliidae",52,5310,0.01,3
"Ptinidae",20,131,0.15,2
"Pyrochroidae",12,395,0.03,1
"Pyrrhocoridae",21,289,0.07,2
"Reduviidae",208,2428,0.09,5
"Rhipiphoridae",245,525,0.47,2
"Riodinidae",192,705,0.27,8
"Rutelidae",154,207,0.74,2
"Saldidae",12,352,0.03,1
"Salpingidae",257,706,0.36,3
"Saturniidae",1630,1666,0.98,10
"Scarabaeidae",7989,93496,0.09,132
"Scirtidae",24,15147,0,2
"Scraptiidae",12,1504,0.01,1
"Scutelleridae",108,378,0.29,2
"Scydmaenidae",169,4541,0.04,2
"Sepsidae",6,298,0.02,1
"Silphidae",27,894,0.03,1
"Silvanidae",206,904,0.23,5
"Sphecidae",116,1126,0.1,5
"Sphindidae",12,75,0.16,1
"Sphingidae",876,1550,0.57,9
"Staphylinidae",3093,116763,0.03,40
"Stenotrachelidae",80,160,0.5,1
"Syrphidae",1063,8862,0.12,51
"Tachinidae",1781,2977,0.6,79
"Tenebrionidae",3135,7880,0.4,76
"Tetrigidae",34,1074,0.03,3
"Tettigometridae",24,106,0.23,2
"Tettigoniidae",658,3176,0.21,17
"Throscidae",12,406,0.03,1
"Tingidae",187,1610,0.12,7
"Tiphiidae",18,80,0.22,2
"Torymidae",288,342,0.84,24
"Trogidae",6,233,0.03,1
"Trogossitidae",577,2802,0.21,7
"Vespidae",153,1124,0.14,7
"Zopheridae",2055,9455,0.22,7
"Zygaenidae",199,1144,0.17,4
