"Order","Family","genus_or_species_n_rows","total_n_rows","percentage","num_genera_without_genus_value","num_genera_without_genus_value_with_real_names","num_rows_in_real_genera","num_SSBS_in_real_genera","avg_rows_per_SSBS_in_real_genera","countries_by_frequency"
"Hemiptera","Achilidae",486,657,0.74,28,3,186,21,8.85714285714286,"Brazil, Gabon"
"Hemiptera","Achilixiidae",9,9,1,1,1,9,9,1,"Brazil"
"Orthoptera","Acrididae",8149,15389,0.53,154,121,7753,786,9.86386768447837,"South Africa, France, United States, Australia, Hungary, United Republic of Tanzania, Switzerland, Japan, Nicaragua, Greece, Kenya, Brazil, Gabon"
"Diptera","Acroceridae",26,55,0.47,2,2,26,26,1,"South Africa, Canada"
"Lepidoptera","Acrolophidae",168,194,0.87,1,1,168,90,1.86666666666667,"United States"
"Lepidoptera","Adelidae",108,148,0.73,1,1,108,108,1,"United Kingdom"
"Coleoptera","Aderidae",12,884,0.01,1,1,12,12,1,"Gabon"
"Odonata","Aeshnidae",30,30,1,5,5,30,12,2.5,"Indonesia, India"
"Hymenoptera","Agaonidae",48,48,1,4,1,12,12,1,"Gabon"
"Diptera","Agromyzidae",375,909,0.41,14,14,375,68,5.51470588235294,"Canada, Germany, Serbia, United States"
"Hemiptera","Alydidae",70,352,0.2,3,3,70,70,1,"Hungary, Australia, Gabon"
"Hymenoptera","Andrenidae",750,25439,0.03,8,8,750,250,3,"United States, Serbia, Canada, Brazil, Switzerland"
"Coleoptera","Anobiidae",578,1848,0.31,9,9,578,346,1.67052023121387,"New Zealand, Brazil, Canada, Spain, Gabon, United Kingdom"
"Coleoptera","Anthicidae",339,1373,0.25,5,5,339,274,1.23722627737226,"New Zealand, Brazil, Gabon"
"Hemiptera","Anthocoridae",374,1080,0.35,4,4,374,222,1.68468468468468,"Portugal, United Kingdom, Gabon"
"Diptera","Anthomyiidae",702,846,0.83,13,13,702,93,7.54838709677419,"Germany, New Zealand, Gabon, United Kingdom"
"Coleoptera","Anthribidae",964,1630,0.59,6,6,964,265,3.6377358490566,"New Zealand, Gabon"
"Hymenoptera","Aphelinidae",12,162,0.07,1,1,12,12,1,"Gabon"
"Hemiptera","Aphididae",2400,3682,0.65,16,16,2400,232,10.3448275862069,"Portugal, Serbia, Australia"
"Coleoptera","Aphodiidae",406,4147,0.1,17,17,406,249,1.63052208835341,"Portugal, France, Italy, Egypt, New Zealand, United Kingdom, Brazil, Mexico"
"Hemiptera","Aphrophoridae",28,1183,0.02,2,2,28,28,1,"Australia, Gabon"
"Hymenoptera","Apidae",5609,52835,0.11,67,67,5609,824,6.80703883495146,"Colombia, Brazil, United States, Australia, Thailand, Belize, Mexico, Gabon, Peru, Serbia, Bolivia, Germany, Ecuador, Argentina, South Africa, Switzerland, Italy"
"Coleoptera","Apionidae",120,2593,0.05,4,4,120,48,2.5,"Hungary, Gabon"
"Hemiptera","Aradidae",12,330,0.04,1,1,12,12,1,"Gabon"
"Lepidoptera","Arctiidae",3839,5536,0.69,21,21,3839,233,16.4763948497854,"United States, New Zealand, Nicaragua"
"Hymenoptera","Argidae",74,74,1,1,1,74,37,2,"Germany, United Kingdom"
"Diptera","Asilidae",588,866,0.68,49,1,12,12,1,"Gabon"
"Coleoptera","Attelabidae",27,69,0.39,2,2,27,27,1,"Kenya, Gabon"
"Hymenoptera","Aulacidae",12,12,1,1,1,12,12,1,"Gabon"
"Ephemeroptera","Baetidae",12,71,0.17,1,1,12,12,1,"Gabon"
"Hymenoptera","Bethylidae",12,339,0.04,1,1,12,12,1,"Gabon"
"Diptera","Bibionidae",193,433,0.45,3,3,193,193,1,"United Kingdom, New Zealand, Germany, Gabon"
"Coleoptera","Biphyllidae",12,75,0.16,1,1,12,12,1,"Gabon"
"Lepidoptera","Blastobasidae",90,837,0.11,2,2,90,90,1,"United States"
"Blattodea","Blattidae",4,386,0.01,1,1,4,4,1,"Nigeria"
"Lepidoptera","Bombycidae",288,317,0.91,2,2,288,144,2,"United States"
"Diptera","Bombyliidae",100,214,0.47,3,3,100,71,1.40845070422535,"Germany, Switzerland, Gabon"
"Coleoptera","Bostrichidae",255,626,0.41,4,4,255,250,1.02,"New Zealand, Gabon, Spain"
"Coleoptera","Bothrideridae",184,417,0.44,4,4,184,174,1.05747126436782,"Portugal, Gabon, Spain, United Kingdom"
"Hymenoptera","Braconidae",267,1634,0.16,13,13,267,47,5.68085106382979,"New Zealand, Kenya, Gabon"
"Coleoptera","Brentidae",61,453,0.13,3,3,61,61,1,"Hungary, New Zealand, Spain"
"Lepidoptera","Bucculatricidae",2,106,0.02,1,1,2,2,1,"Serbia"
"Coleoptera","Buprestidae",286,1796,0.16,6,6,286,250,1.144,"New Zealand, Gabon, Spain"
"Coleoptera","Byrrhidae",12,1671,0.01,1,1,12,12,1,"Gabon"
"Psocodea","Caeciliusidae",260,324,0.8,1,1,260,260,1,"Portugal, United Kingdom"
"Hemiptera","Caliscelidae",206,288,0.72,2,2,206,82,2.51219512195122,"Hungary"
"Diptera","Calliphoridae",1136,1846,0.62,23,23,1136,157,7.23566878980892,"Germany, New Zealand, Argentina, Canada, Brazil, Gabon, United Kingdom, United States"
"Odonata","Calopterygidae",18,24,0.75,2,2,18,12,1.5,"Indonesia, India"
